Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified_g__Acinetobacter,ASV516,33,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_bacterium_f__JG30-KF-CM45,ASV330,27,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Cloacibacterium,s__unclassified_g__Cloacibacterium,ASV346,16,4.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV456,20,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Lysobacterales,f__Lysobacteraceae,g__Lysobacter,s__unclassified_g__Lysobacter,ASV355,11,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Micavibrionales,f__norank_o__Micavibrionales,g__norank_o__Micavibrionales,s__uncultured_gamma_proteobacterium_o__Micavibrionales,ASV363,9,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Rhizobiaceae,g__Mesorhizobium,s__unclassified_g__Mesorhizobium,ASV370,4,9.02242e-6,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Actinomarinales,f__norank_o__Actinomarinales,g__norank_o__Actinomarinales,s__unclassified_g__norank_o__Actinomarinales,ASV638,5,1.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__unclassified_g__Peptostreptococcus,ASV161,52,0.00012,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Johnsonella,s__Johnsonella_ignava_ATCC_51276,ASV166,47,0.00011,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Blastomonas,s__unclassified_g__Blastomonas,ASV512,44,0.0001,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__norank_f__Mitochondria,s__unclassified_g__norank_f__Mitochondria,ASV169,50,0.00011,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_jejuni,ASV309,40,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,s__unclassified_g__Caulobacter,ASV615,39,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Beijerinckiaceae,g__Methylobacterium,s__unclassified_g__Methylobacterium,ASV172,41,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,s__unclassified_g__Reyranella,ASV515,32,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Aquabacterium,s__unclassified_g__Aquabacterium,ASV705,26,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Gemmatimonadota,c__Longimicrobiia,o__Longimicrobiales,f__Longimicrobiaceae,g__Longimicrobium,s__uncultured_bacterium_g__Longimicrobium,ASV334,24,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Glutamicibacter,s__unclassified_g__Glutamicibacter,ASV335,24,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__unclassified_f__Alcaligenaceae,s__unclassified_f__Alcaligenaceae,ASV550,26,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae,g__unclassified_f__Cellulomonadaceae,s__unclassified_f__Cellulomonadaceae,ASV343,21,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Beijerinckiaceae,g__Methylobacterium,s__unclassified_g__Methylobacterium,ASV744,21,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__unclassified_g__Schaalia,ASV362,12,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__unclassified_g__Microbacterium,ASV706,9,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales,ASV364,7,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__unclassified_g__Sphingobium,ASV544,41,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas,ASV701,31,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria,ASV703,27,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV627,23,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV336,18,4.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,s__unclassified_g__Shewanella,ASV351,15,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__norank_o__Candidatus_Kaiserbacteria,g__norank_o__Candidatus_Kaiserbacteria,s__uncultured_organism_o__Candidatus_Kaiserbacteria,ASV367,7,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__Nocardioides_sp._AP3,ASV459,5,1.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Lysobacterales,f__Lysobacteraceae,g__Xanthomonas,s__unclassified_g__Xanthomonas,ASV189,2,4.51121e-6,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__unclassified_g__Brevundimonas,ASV311,40,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified_g__Acinetobacter,ASV547,42,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium,ASV740,43,0.0001,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_pallens,ASV326,35,8.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Aeromonadaceae,g__Pseudaeromonas,s__uncultured_bacterium_g__Pseudaeromonas,ASV327,26,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Cloacibacterium,s__unclassified_g__Cloacibacterium,ASV623,27,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Glutamicibacter,s__unclassified_g__Glutamicibacter,ASV519,24,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Skermanella,s__unclassified_g__Skermanella,ASV344,16,4.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_sp._ChDC_OS43,ASV182,14,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__norank_f__Blastocatellaceae,s__unclassified_g__norank_f__Blastocatellaceae,ASV458,14,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,ASV637,7,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified_g__Acinetobacter,ASV448,52,0.00012,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Micavibrionales,f__norank_o__Micavibrionales,g__norank_o__Micavibrionales,s__uncultured_gamma_proteobacterium_o__Micavibrionales,ASV302,48,0.00011,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Noviherbaspirillum,s__unclassified_g__Noviherbaspirillum,ASV303,49,0.00011,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Paracoccaceae,g__Paracoccus,s__unclassified_g__Paracoccus,ASV304,37,8.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_f__LWQ8,ASV312,36,8.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV416,39,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV68,41,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiia,o__Pedosphaerales,f__Pedosphaeraceae,g__norank_f__Pedosphaeraceae,s__unclassified_g__norank_f__Pedosphaeraceae,ASV314,34,8.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__unclassified_g__Acinetobacter,ASV739,42,9.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV318,32,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetota,c__vadinHA49,o__norank_c__vadinHA49,f__norank_c__vadinHA49,g__norank_c__vadinHA49,s__uncultured_organism_c__vadinHA49,ASV622,33,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__unclassified_g__Novosphingobium,ASV179,31,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV626,27,6.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV333,21,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84,ASV628,24,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_o__Vicinamibacterales,s__uncultured_bacterium_o__Vicinamibacterales,ASV341,16,4.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,s__unclassified_g__Rhizobacter,ASV347,17,4.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Beijerinckiaceae,g__Bosea,s__unclassified_g__Bosea,ASV420,18,4.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__Nocardioides_sp._AP3,ASV357,11,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__unclassified_g__Pseudomonas,ASV358,12,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__norank_o__Planctomycetales,g__norank_o__Planctomycetales,s__metagenome_o__Planctomycetales,ASV707,5,1.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Myxococcota,c__Polyangiia,o__mle1-27,f__norank_o__mle1-27,g__norank_o__mle1-27,s__unclassified_g__norank_o__mle1-27,ASV745,7,2.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__unclassified_g__Sphingobium,ASV639,6,1.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Beijerinckiaceae,g__unclassified_f__Beijerinckiaceae,s__unclassified_f__Beijerinckiaceae,ASV613,43,0.0001,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Beijerinckiaceae,g__Methylobacterium,s__Methylobacterium_variabile,ASV700,36,8.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Pseudoleptotrichia,s__uncultured_bacterium_g__Pseudoleptotrichia,ASV177,36,8.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae,g__Blastococcus,s__unclassified_g__Blastococcus,ASV328,32,7.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Dechloromonas,s__unclassified_g__Dechloromonas,ASV521,20,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Beijerinckiaceae,g__Methylobacterium,s__unclassified_g__Methylobacterium,ASV783,20,5.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Aquabacterium,s__Aquabacterium_citratiphilum,ASV352,14,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__unclassified_g__Deinococcus,ASV353,12,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__unclassified_f__Sphingomonadaceae,s__unclassified_f__Sphingomonadaceae,ASV785,13,3.0E-5,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae,g__norank_f__Silvanigrellaceae,s__uncultured_bacterium_f__Silvanigrellaceae,ASV79,4,9.02242e-6,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__norank_f__Mitochondria,s__Juniperus_virginiana_f__Mitochondria,ASV422,2,4.51121e-6,0.08333
d__Bacteria,k__norank_d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__unclassified_g__Sphingomonas,ASV643,2,4.51121e-6,0.08333
